"src_street";"src_city";"src_province";"src_zip"
"43 ALMAJ WHARF S";"GUELPH";"ON";"N1H5W6"
"151 PLAT SAINT-RERNE O";"GATINEAU";"QC";"J8P2V5"
"7 PRESTIGEC TERR NW";"EDMONTON";"AB";"T6M2T3"
"120 ST GEDORGJE'S CROSS E";"SAULT STE MARIE";"ON";"P6B1X3"
"627 RYMALY RAMP E";"HAMILTON";"ON";"L8W1B4"
"227 BULYESA KNOLL NW";"EDMONTON";"AB";"T6R1X6"
"346 COURS JEANU-PAUL";"LAVALTRIE";"QC";"J5T3S8"
"147 GFUILDWOOD GLADE";"SCARBOROUGH";"ON";"M1E1P5"
"433 ALLEE BVOUSQUET";"OTTERBURN PARK";"QC";"J3H5W2"
"48 AV D'AUVERGNEL";"CANDIAC";"QC";"J5R5R1"
"83 CABMBORNE DOWNS";"NORTH YORK";"ON";"M3M2R3"
"250 CROIS JEAN-PAAUL-LAGFVALLEE";"LA PRAIRIE";"QC";"J5R6T7"
"5849 COTE AUACLAIR";"BROSSARD";"QC";"J4Z1J8"
"2038 PARADE SAINTVE-CLAIREX";"JONQUIERE";"QC";"G7X6G4"
"1357 DAENBY LINE";"WINDSOR";"ON";"N8S4M4"
"269 STANLEY BAY";"WATERLOO";"ON";"N2L1H9"
"31 LATHROP PASS";"LEAMINGTON";"ON";"N8H4B5"
"617 PLAT DE CALAIS";"SAINT-NICOLAS";"QC";"G7A1L7"
"13 GLENDARLING CIR";"ETOBICOKE";"ON";"M9A4G3"
"105 PROM DU BARRY";"GATINEAU";"QC";"J8T3N8"
"511 ILE OUIMET";"SAINT-JEROME";"QC";"J7Z1P8"
"566 GRASSLANDS QUAY";"WATERLOO";"ON";"N2V2R5"
"712 E DOUGLAS PARK TRNABT";"REGINA";"SK";"S4N2S2"
"21 SUNRISE BLVD";"GUELPH";"ON";"N1K1J4"
"31 37E COTE";"EDMUNDSTON";"NB";"E3V2W6"
"7205 COURS BRIAND";"MONTREAL";"QC";"H4E3L8"
"864 ROGERSON VALE";"MISSISSAUGA";"ON";"L5V3A9"
"148 GLENVIEW FOREST";"MISSISSAUGA";"ON";"L5G2Z5"
"23071 121A MEADOW";"MAPLE RIDGE";"BC";"V2X0B7"
"460 ECH PIE-IX";"SAINT-NICEPHORE";"QC";"J2A1Y5"
"444 CUSICK RAMP";"MILTON";"ON";"L9T0M9"
"533 A ROSEMEADOW CRES";"WATERLOO";"ON";"N2T2A1"
"3357 E TANAGER CRES";"REGINA";"SK";"S4Z1A1"
"66 D ROUGEAU AVE";"WINNIPEG";"MB";"R2C3Z6"
"7271 A KING GEORGE HWY";"SURREY";"BC";"V3W5A7"
"22 D LOVELL LANE";"NEPEAN";"ON";"K2H9B6"
"3775 E CUMBERLAND RD";"REGINA";"SK";"S4V3C5"
"6 F CRESTLEA CRES";"NEPEAN";"ON";"K2G4N2"
"415 N FAIRWAY RD";"REGINA";"SK";"S4Y1A1"
"3 A NANCY AVE";"LEAMINGTON";"ON";"N8H1J8"
"3821 E E CREEKSIDE RD";"REGINA";"SK";"S4N7N8"
"63 B UPLAND BLVD";"BROOKS";"AB";"T1R0N9"
"73 C RUE LOUIS-VADEBONCOEUR";"SAINT-CHARLES-BORROMEE";"QC";"J6E8V7"
"509 C PLACENTIA PL";"ST. JOHN'S";"NL";"A1A1S4"
"139 A RUE MICHEL-THIBAULT";"SAINT-AUGUSTIN-DE-DESMAURES";"QC";"G3A2W2"
"1033 N CYPRESS WAY";"REGINA";"SK";"S4X4R4"
"5814 BANFF ST";"HALIFAX";"NS";"B3K1K8"
"1994 TRACEY AVE";"VANCOUVER";"BC";"V6J2T7"
"20 YELLOWKNIFE CRT";"BRAMPTON";"ON";"L6Y0L5"
"18138 ROSSCOMMON AVE";"SURREY";"BC";"V3S1J6"
"22 PENNEY AVE";"HAMILTON";"ON";"L8M2B1"
"426 RUE GALAXY";"BELOEIL";"QC";"J3G1V8"
"1961 RUE MOUNTBATTEN";"JONQUIERE";"QC";"G7X5E4"
"469 MEIGHEN ST";"NANAIMO";"BC";"V9R1G8"
"118 AIRPORT CRT";"INNISFAIL";"AB";"T4G1S2"
"167 RUE CEDAR";"L'ILE-BIZARD";"QC";"H9C2A9"
"630 105AC AVE";"DAWSON CREEK";"BC";"V1G2M7"
"9715 1YF0 ST";"DAWSON CREEK";"BC";"V1G3S9"
"12330 1Q1F1 AVE";"GRANDE PRAIRIE";"AB";"T8V7Z4"
"6240 12K0O ST";"SURREY";"BC";"V3X1Y7"
"15872 88BG AVE";"SURREY";"BC";"V4N1H2"
"2904 4XV3 AVE";"VERNON";"BC";"V1T3L5"
"3802 35MA ST";"VERNON";"BC";"V1T6C5"
"11571 7A7A AVE";"DELTA";"BC";"V4C1M6"
"22059 0ZN AVE";"LANGLEY";"BC";"V2Z1S1"
"3905 5SH7 ST";"CAMROSE";"AB";"T4V3H6"
"4616 57MW ST";"CAMROSE";"AB";"T4V2E7"
"2532 14EH AV";"SHAWINIGAN-SUD";"QC";"G9P2C6"
"1768 MERCURE BOULULEVARD";"DRUMMONDVILLE";"QC";"J2B3N5"
"251 DES NARCISSES EUR";"SAINTE-THERESE";"QC";"J7E5L4"
"2037 HARBOUR RU";"LAVAL";"QC";"H7T2N7"
"697 195 ROUTAE N";"AMQUI";"QC";"G5J2H9"
"617 DES RIVERAINS TERRASS";"SALABERRY-DE-VALLEYFIELD";"QC";"J6S0E2"
"453 SAINTE-ROSE BIULEVARD";"LAVAL";"QC";"H7L4P5"
"13556 DU NOROIT TUE";"MIRABEL";"QC";"J7J1T2"
"224 18E RUW";"VAL-D'OR";"QC";"J9P2Y8"
"44 ACADEMY EUR";"SHERBROOKE";"QC";"J1M1R1"
"710 5E RU";"CHIBOUGAMAU";"QC";"G8P1T9"
"365 DES JONQUILLES REU";"SAINT-EUSTACHE";"QC";"J7P0B7"
"126 ROYAL OAK";"CALGARY";"AB";"T3G6A7"
"433 KING";"TORONTO";"ON";"M5V1K4"
"180 WATER";"CAMBRIDGE";"ON";"N1R3E2"
"16 QUEEN ANNE";"CALGARY";"AB";"T2J6N6"
"497 ROMEO";"STRATFORD";"ON";"N5A4V3"
"522 SECOND";"FORT FRANCES";"ON";"P9A1N4"
"2558 DU FLEUVE";"NICOLET";"QC";"J3T1P1"
"1109 11TH";"SASKATOON";"SK";"S7M1G7"
"521 ST GEORGE";"FERGUS";"ON";"N1M1J7"
"25 WOODFIELD";"CALGARY";"AB";"T2W5K8"
"9 WHITNEY OURT";"WHITBY";"ON";"L1P1C6"
"990 SPRINGHILL FOAD";"FREDERICTON";"NB";"E3C1R5"
"21 VALENS DRUIVE";"SASKATOON";"SK";"S7L3R9"
"54 WARD LNE";"WATERBOROUGH";"NB";"E4C4A6"
"289 BENITA UOCRT";"OAKVILLE";"ON";"L6J4L3"
"11 GRAND OAK DDIVE";"RICHMOND HILL";"ON";"L4E4E8"
"907 WINTERGREEN DRIVEE";"KELOWNA";"BC";"V1W3V9"
"18 SOUTH CHARLES STREEY";"TRENTON";"ON";"K8V2R7"
"906 STONEHAVEN ROADZ";"CALGARY";"AB";"T2W0P6"
"568 LANSDOWNE AGENUE";"CALGARY";"AB";"T2S0Z7"
"1550 16 STRTREET";"SALMON ARM";"BC";"V1E2E9"
"2347 CRESTWOOD ROADAD";"CALGARY";"AB";"T2C0C8"
"668 7TH WVENUE";"OWEN SOUND";"ON";"N4K2X8"
"3205 PALLISER DRIVS";"CALGARY";"AB";"T2V4G7"
"14626 138 STDEET";"EDMONTON";"AB";"T6V1V3"
"101 ROYAL RIDGE RISESE";"CALGARY";"AB";"T3G5M1"
"3980 27TH UVENAE";"VANCOUVER";"BC";"V6S1R5"
"887 46TH VENUE";"VANCOUVER";"BC";"V5Z2R4"
"1107 SIDNEY SZTREET";"SWIFT CURRENT";"SK";"S9H1T8"
"17 FORFAR STREHET";"CALEDONIA";"ON";"N3W1J5"
"16034 93 AVEEUN";"EDMONTON";"AB";"T5R5H8"
"141 PARKDALE VENUE";"HAMILTON";"ON";"L8H5X3"
"436 48E RUE ET";"QUEBEC";"QC";"G1H2L9"
"153 TERRACE DR NRTHEAST";"MEDICINE HAT";"AB";"T1C2B2"
"1098 27 ST STH";"LETHBRIDGE";"AB";"T1K2S7"
"10721 127 ST NWEST";"EDMONTON";"AB";"T5M0S4"
"363 WINDSOR RD ET";"NORTH VANCOUVER";"BC";"V7N1K3"
"13343 81 AVE NWEST";"EDMONTON";"AB";"T5R3N3"
"380 BOUL MALONEY OEST";"GATINEAU";"QC";"J8P6W2"
"461 18TH ST WST";"OWEN SOUND";"ON";"N4K4C4"
"3058 RUE GALT OEST";"SHERBROOKE";"QC";"J1K1M2"
"10522 29A AVE NWEST";"EDMONTON";"AB";"T6J4C2"
"13330 105 ST NWEST";"EDMONTON";"AB";"T5E4S5"
"112 RENFREW AVE ET";"RENFREW";"ON";"K7V2W9"
"1815 BOUL GOUIN ET";"MONTREAL";"QC";"H2C3J9"
"32 HIGHFIELD CIR STHEAST";"CALGARY";"AB";"T2G5N5"
"1747 92 AVE STHWEST";"CALGARY";"AB";"T2V5C6"
"305 47 ST STHEAST";"CALGARY";"AB";"T2A1P3"
"1208 KENSINGTON RD NWEST";"CALGARY";"AB";"T2N3P5"
"208 BOUL RENARD ET";"GASPE";"QC";"G4X5R5"
"9050 BEARSPAW DAM RD W";"CALGARY";"AB";"T3L1S4"
"10116 175 ST SW";"EDMONTON";"AB";"T5S1L1"
"613 WATT BLVD E";"EDMONTON";"AB";"T6X0N4"
"10173 104 ST S";"EDMONTON";"AB";"T5J0Z9"
"218 MARTINBROOK PL S";"CALGARY";"AB";"T3J3E2"
"49 KINCORA DR NE";"CALGARY";"AB";"T3R1L2"
"75 CORAL REEF CRES NW";"CALGARY";"AB";"T3J3Y4"
"28 WEST RANCH RD NE";"CALGARY";"AB";"T3H5B9"
"36 EVANSBROOKE WAY NE";"CALGARY";"AB";"T3P1C6"
"65 BERMONDSEY PL E";"CALGARY";"AB";"T3K1V6"
"3700 130 AVE SW";"EDMONTON";"AB";"T5A5G1"
"12410 51 AVE NE";"EDMONTON";"AB";"T6H0M5"
"10614 138 ST N";"EDMONTON";"AB";"T5N2J8"
"406 CANNINGTON CLOSE STHWEST";"CALGARY";"AB";"T2W3G1"
"26 EDGERIDGE BAY NWEST";"CALGARY";"AB";"T3A6H8"
"2970 AV DU PONT NRTH";"ALMA";"QC";"G8E1R7"
"449 TAYLOR MILLS DR STH";"RICHMOND HILL";"ON";"L4C2T3"
"8222 186 ST NWEST";"EDMONTON";"AB";"T5T1H4"
"308 MACEWAN VALLEY RD NWEST";"CALGARY";"AB";"T3K3S7"
"1287 FINCH AVE WST";"NORTH YORK";"ON";"M3J2G5"
"11208 33 ST NWEST";"EDMONTON";"AB";"T5W1X5"
"283 RED CROW BLVD WST";"LETHBRIDGE";"AB";"T1K7B2"
"268 UNIVERSITY AVE WST";"COBOURG";"ON";"K9A2H7"
"1424 LAKE MICHIGAN DR STHEAST";"CALGARY";"AB";"T2J3G2"
"154 HIDDEN VALE CLOSE NWEST";"CALGARY";"AB";"T3A5C7"
"1173 BOUL DU SAGUENAY EAAST";"CHICOUTIMI";"QC";"G7H1G4"
"655 BLOOR ST EEST";"TORONTO";"ON";"M6G1L1"
"14 ROSS GLEN RD SOUTHEAST";"MEDICINE HAT";"AB";"T1B3T1"
"513 2 AVE EATS";"BROOKS";"AB";"T1R0H6"
"101 NEW BRIGHTON CIR SOUTHH EAST";"CALGARY";"AB";"T2Z4B3"
"3441 14TH AVE WESAT";"VANCOUVER";"BC";"V6R2W2"
"260 24TH AVE EAS";"VANCOUVER";"BC";"V5V1Z6"
"1017 LAKESHORE RD EAAST";"OAKVILLE";"ON";"L6J1K7"
"11841 123 ST NORTH WHEST";"EDMONTON";"AB";"T5L0G7"
"957 BOUL YVON-L'HEUREUX NLRTH";"BELOEIL";"QC";"J3G6N4"
"2237 ALYTH PL TOUSH EAST";"CALGARY";"AB";"T2G3L1"
"14512 85 AVE ORTH WEST";"EDMONTON";"AB";"T5R3Z4"
"508 RUE TURCOTTE ETSA";"THETFORD MINES";"QC";"G6G1E6"
"3511 41B AVE";"EDMONTON";"AB";"T6L5E6"
"743 76 AVE";"EDMONTON";"AB";"T6P1P2"
"126 12E AV";"AMOS";"QC";"J9T1K1"
"2392 RUE SAINT-ANTOINE";"MONTREAL";"QC";"H3J1A8"
"683 45TH ST";"SASKATOON";"SK";"S7K0W4"
"171 DIVISION ST";"KINGSVILLE";"ON";"N9Y1E5"
"13 LANSDOWNE RD";"CAMBRIDGE";"ON";"N1S2T2"
"5710 201 ST";"EDMONTON";"AB";"T6M0B4"
"11115 BRAXTON RD";"CALGARY";"AB";"T2W1C7"
"178 RUE BOWEN";"SHERBROOKE";"QC";"J1E2C7"
"7705 162 AVE";"EDMONTON";"AB";"T5Z3N6"
"13 SUNDANCE MEWS";"MEDICINE HAT";"AB";"T1B4V1"
"146 CHAPALINA TERR";"CALGARY";"AB";
"197 PENNSYLVANIA RD";"CALGARY";"AB";
"8653 SLOANE CRT";"EDMONTON";"AB";
"485 BURTON RD";"EDMONTON";"AB";
"18 WOODFORD CLOSE";"CALGARY";"AB";
"18 LUXSTONE RISE";"AIRDRIE";"AB";
"81 ALDER CRES";"AIRDRIE";"AB";
"502 RUE SAINT-BERNARD WEFST";"ALMA";"QC";"G8B4R2"
"318 RUE SALABERRY WST";"SALABERRY-DE-VALLEYFIELD";"QC";"J6T2J8"
"823 CH DE MONTREAL WST";"GATINEAU";"QC";"J8M1N8"
"146 4E AV EWST";"AMOS";"QC";"J9T1R1"
"1121 CH DE MONTREAL SEWT";"GATINEAU";"QC";"J8M1P1"
"134 RUE CREMAZIE WESUT";"QUEBEC";"QC";"G1R1X5"
"40 RUE LEVESQUE WESST";"CHICOUTIMI";"QC";"G7J1H5"
"563 RUE SAINT-VALLIER EWST";"QUEBEC";"QC";"G1N1C3"
"1609 RUE KING WEEST";"SHERBROOKE";"QC";"J1J2C7"
"69 BOUL SAINT-BENOIT WESR";"AMQUI";"QC";"G5J2E5"
"5 RUE GAUDREAU WESST";"GASPE";"QC";"G4X4A5"
"474 7E RUE WEKST";"AMOS";"QC";"J9T2Y9"
"1319 BOUL RENE-LEVESQUE WESTST";"MONTREAL";"QC";"H3G0A4"
"8 89E AV WMEST";"BLAINVILLE";"QC";"J7C1X5"
"3458 BOUL LAURIER WESTST";"SAINT-HYACINTHE";"QC";"J2S3T5"
"30 RUE BLAINVILLE OUOUEST";"SAINTE-THERESE";"QC";"J7E1W9"
"4727 BOUL DE MAISONNEUVE OUESAT";"WESTMOUNT";"QC";"H3Z1M3"
"4851 BOUL DE MAISONNEUVE OUEXT";"WESTMOUNT";"QC";"H3Z1M6"
"1835 RUE SAINT-PIERRE OUESTST";"SAINT-HYACINTHE";"QC";"J2T1P6"
"170 76E RUE OUOUEST";"QUEBEC";"QC";"G1H4R5"
"477 76E RUE EUOST";"QUEBEC";"QC";"G1H4S1"
"254 RUE TAILLON OUEET";"SAINT-BASILE-LE-GRAND";"QC";"J3N1E5"
"714 RUE SAINT-JACQUES OUESEST";"PRINCEVILLE";"QC";"G6L4Y9"
"288 RUE BERGERON OUESST";"ALMA";"QC";"G8B1T6"
"452 RUE PRINCE-ARTHUR OUSET";"MONTREAL";"QC";"H2X1T5"
"46 COUNTRY VILLAGE MANOR ORD-EST";"CALGARY";"AB";
"8521 143 ST NONORD-OUEST";"EDMONTON";"AB";
"27 EVANSBROOKE PK NORDCOUEST";"CALGARY";"AB";
"8410 177A ST NODR-OUEST";"EDMONTON";"AB";
"13 STRADDOCK VILLAS AUD-OUEST";"CALGARY";"AB";
"17 SIGNATURE MEWS SUD-OURST";"CALGARY";"AB";
"148 HIDDEN CIR ROND-OUEST";"CALGARY";"AB";
"12910 143 AVE NOD-OUEST";"EDMONTON";"AB";
"10789 MAPLESHIRE CRES SUE-EST";"CALGARY";"AB";
"915 MAITLAND WAY NORD-ESTST";"CALGARY";"AB";
"11115 UNIVERSITY AVE NORD-OUESTD";"EDMONTON";"AB";
"14114 148 AVE NORE-OUDST";"EDMONTON";"AB";
"30 PUMPMEADOW CRES SUD-OHUEST";"CALGARY";"AB";
"343 WEST RANCH PL SUE-OUDST";"CALGARY";"AB";
"10139 81 ST ORD-OUEST";"EDMONTON";"AB";
"3865 FONDA WAY USD-EST";"CALGARY";"AB";
"77 JEFFERSON RD NORD-OUEEST";"EDMONTON";"AB";
"122 RAILWAY ST W STE 4";"COCHRANE";"AB";"T4C2B7"
"5 HILLCROFT DR AP 15";"MARKHAM";"ON";"L3S1R7"
"340 EAGLE ST STE 9";"NEWMARKET";"ON";"L3Y7N1"
"185 KING GEORGE RD UN 3";"BRANTFORD";"ON";"N3R7R9"
"321 MARYLAND AVE UN 3";"BRANDON";"MB";"R7A6R6"
"71 MONTEE DES BOULEAUX STE 248";"SAINT-CONSTANT";"QC";"J5A1B4"
"191 RUE DES MYOSOTIS AP 3";"SAINTE-THERESE";"QC";"J7E5R3"
"5325 42 AVE STE 3";"TABER";"AB";"T1G1B6"
"1950 BELGO RD AP 2";"KELOWNA";"BC";"V1P1E1"
"108 RUE DE LA FALAISE UNLIT 6";"GATINEAU";"QC";"J8Z2W8"
"1210 RUE DE COLIGNY SUEITE 106";"QUEBEC";"QC";"G2K2G9"
"502 RIVER RD APARTMDNT 1";"TERENCE BAY";"NS";"B3T1X3"
"55 RUE LERIGER SXUITE 4";"SAINT-CONSTANT";"QC";"J5A1C6"
"80 VANEDWARD DR SUITEZ 4";"PORT PERRY";"ON";"L9L1G3"
"2630 RUE PRINCIPALE UKNIT 218";"SAINTE-JULIE";"QC";"J3E3S3"
"48 RUE BRODEUR SUITTE 2";"SAINT-CONSTANT";"QC";"J5A1X3"
"11731 BAYNES RD HNIT 746";"PITT MEADOWS";"BC";"V3Y2B3"
"52450 RANGE ROAD 222 UNITX 189";"ARDROSSAN";"AB";"T8E2G3"
"1419 RUE D'EUROPE APARTMEWNT 2";"QUEBEC";"QC";"G3K1P9"
"4635 REGENTS TERR SUITLE 90";"MISSISSAUGA";"ON";"L5R1W9"
"188 BARTON ST SUIRE 1";"STONEY CREEK";"ON";"L8E4W3"
"1937 BASS RD AUPPARTEMENT 1";"WILLIAMS LAKE";"BC";"V2G5G6"
"30 RUE DE DEAUVILLE UNITBE 6";"GATINEAU";"QC";"J8Z3C2"
"1055 RUE HELENE-BOULLE SLPARTEMENT 1";"SHERBROOKE";"QC";"J1N4G9"
"5662 VEDDER RD APOARTSMENT 38";"CHILLIWACK";"BC";"V2R3N2"
"2239 KING RD BURRAU 3";"KING CITY";"ON";"L7B1G2"
"12055 GREENLAND DR BUREAUD 63";"RICHMOND";"BC";"V6V2E2"
"1701 LAMPMAN AVE APOARTEMENT 419";"BURLINGTON";"ON";"L7L6R9"
"9321 BOUL PERRAS APPARTEMEANT 1";"MONTREAL";"QC";"H1E6L8"
"3837 MARPLES RD UNIFE 4";"QUALICUM BEACH";"BC";"V9K2S8"
"3030 BREAKWATER CRT APPGQARTEMENT 335";"MISSISSAUGA";"ON";"L5B4N7"
"4101 43 AVE UNIFE 102";"BONNYVILLE";"AB";"T9N1W4"
"222 FOX ST APPARTEKMENNT 3";"PENETANGUISHENE";"ON";"L9M1E8"
"120 BAKER RD ANPPARTEMQENT 2";"SALT SPRING ISLAND";"BC";"V8K2N5"
"266 GRAHAM AVE TH 8023";"WINNIPEG";"MB";"R3C0K3"
"55 BLOOR ST W TH 8459";"TORONTO";"ON";"M4W1A6"
"700 UNIVERSITY AVE TH 6437";"TORONTO";"ON";"M5G1X6"
"800 BOUL RENE-LEVESQUE O RM 3829";"MONTREAL";"QC";"H3B5J6"
"425 HESPELER RD RM 4429";"CAMBRIDGE";"ON";"N1R8J6"
"2200 YONGE ST RM 2355";"TORONTO";"ON";"M4S2C7"
"837 HASTINGS ST W PH 9168";"VANCOUVER";"BC";"V6C1B6"
"114 GARRY ST TH 7263";"WINNIPEG";"MB";"R3C4V7"
"1590-210 HUBMAN LANDNG";"CANMORE";"AB";"T1W3M4"
"1189-75 ANSONDALE RD";"LONDON";"ON";"N6C5W5"
"309-40 KESTREL PL";"VERNON";"BC";"V1H1S6"
"427-419 LUDLOW ST";"SASKATOON";"SK";"S7S1P3"
"2344-493 PIONEER CRES";"PARKSVILLE";"BC";"V9P1V1"
"5867 EAGLE ISLAND";"W-VANCOUVER";"BRJITISH COLUMBIA";"V7W1V5"
"326 ALBERTA ST";"SAPPERTON";"BRITIDH COLUMBUA";"V3L3J3"
"8346 HUNTINGTON RD RR 1";"PINE GROVE";"ONTANRIO";"L4L1A5"
"14 COCKBURN DR";"LUCASVILLE";"NOVA SCOTAIA";"B4C1J9"
"575 BOUL PATRICK";"GRANTHAM";"QUEBSEC";"J2E1H1"
"1443 RUE CARTIER";"ANCIENNE-LORETTE";"QUEBEV";"G2E4N3"
"1665 TAMARACK ST";"SHELLEY";"BRIUTISH COLUMBIA";"V2L5P4"
"6379 CORFU DR";"SOUTH WELLINGTON";"BRITJSH COLUMBIA";"V9V1P2"
"26 MONTCLAIR RD";"OAK RIDGES";"ONTARIL";"L4B2T3"
"1227 CAR GUAY";"ST-FELICIEN";"QUEBENC";"G8K2G3"
